SMILES,Solubility
OC(=O)C(O)=O.CCOC(=O)C1=C(C)C(C(=O)OCC)=C(NC(=O)CN(CC)CC)S1,Soluble
CN1C=CN=C1SCC(=O)C1=CC=C(O)C(O)=C1,Soluble
O=C(C1=CC=CS1)C1=C(C=C2C=CC=CN12)C1=CC=CC=C1,Soluble
O=C(C(C#N)C1=NC2=C(N1)C=CC=C2)C1=CC=C(OC2=CC=CC=C2)C=C1,Soluble
OC(COC1=CC=CC=C1CC=C)CN1CCOCC1,Soluble
CC1=NN(C(=C1)C1=CC=CC=C1)C1=NC(C)=CC(C)=N1,Soluble
NC1=NC2(CCCCC2)N(C(N)=N1)C1=CC=CC(Cl)=C1,Soluble
COC1=CC=C2CC(=O)N(CC3=CC=CC=C3)C(=O)C2=C1,Soluble
CN1C(C2=CC=CC(=C2)[N+]([O-])=O)C2=C(CCCC2=O)N(C)C1=O,Soluble
O=C1NC(C2=CC=C3OCOC3=C2)C2=C(CCCC2=O)N1,Soluble
CCOC(=O)C(C)OC1=CC=C2C(OC=C(C3=CSC(C)=N3)C2=O)=C1,Soluble
COC1=CC=CC(=C1)N(CN1C(=O)C2=CC=CC=C2C1=O)C(C)=O,Soluble
O=C1C(=COC2=C1C=CC1=C2OCCO1)C1=CC=C2OCCCOC2=C1,Soluble
ClC1=CC=C2C(=O)C=C(OC2=C1)C1=CC=C2OCCOC2=C1,Soluble
O=C1CCCC2=C1C(NC(=S)N2)C1=CC=CC=C1,Soluble
ClC1=CC=C(SC2C(=O)CCCC2=O)C=C1,Soluble
CC1=CC=C(C=C1)C1OC2(C3C1C(=O)N(C3=O)C1=CC=C(C)C=C1)C(=O)C1=CC=CC=C1C2=O,Soluble
O=C1NN(C(=O)C2=C1C=CC=C2)C1=NC=NC2=C1C1=C(CCCC1)S2,Soluble
O=C1OC(=NC2=C1C1=C(CCCC1)S2)C1=CC=CC=C1,Soluble
CC1=NN=C2N1C(C)=NC1=C2C2=C(CCC2)S1,Soluble
CC1=C(C#N)C2=NC3=C(C=CC=C3)N2C(N)=C1,Soluble
CN(C)C1=CC=C(C=C2CCCC3C(N(N=C23)C(N)=O)C2=CC=C(C=C2)N(C)C)C=C1,Soluble
OC(=O)C(O)=O.C1CCC2=C(C1)SC1=C2C(SC2=NN=CN2)=NC=N1,Soluble
COC(=O)NC(NC(=O)OC)C(Cl)(Cl)Cl,Soluble
CC1=CC=C(C=C1)C1(NC(=O)N2C(SC3=CC=CC=C23)=N1)C(F)(F)F,Soluble
COC1=CC=C(C=C1)N(CN1C(=O)C2=CC=CC=C2C1=O)C(=O)C1=CC=CC(C)=C1,Soluble
CN1C(C2=CC=C(Cl)C=C2)C(=C(C)N(C)C1=O)[N+]([O-])=O,Soluble
ClC1=CC=CC(=C1)N1CN=C2SCC(=O)N2C1,Soluble
CC(C)(C)C(=O)N(CN1C(=O)C2=CC=CC=C2C1=O)C1=CC=CC(F)=C1,Soluble
CC(=O)C(C(=O)C1=CC=CC=C1)=C1NC2=CC=CC=C2N1,Soluble
CC(=O)N1N=C(C(=C1C)C1=NC2=C(N1)C=CC=C2)C1=CC=CC=C1,Soluble
COC1=CC=CC(=C1)C1=NOC2(C1)N(C)C1=CC=CC=C1C2(C)C,Soluble
CC1=CC=C(C=C1)S(=O)(=O)C1(CC1)C(=O)NC1=CC=CC=C1I,Soluble
FC1=C(F)C(F)=C(C(F)=C1F)C1=CC(=O)C2=C(O1)C=CC=C2,Soluble
CC1=NN(C2=C1C(C1=CC=CC=C1)C(C#N)=C(N)O2)C1=CC=CC=C1,Soluble
OC(=O)C(O)=O.O=C(CN1CCOCC1)NC1=CC=C2OCCOC2=C1,Soluble
OC1=CC=CC=C1OCC(=O)N1CCCCCC1,Soluble
CN1C(=C)C(C)(C)C2=CC=C(CN3C(=O)C4=CC=CC=C4C3=O)C=C12,Soluble
CNC1=CC=CC=C1C(C)(C)C1=CC(=NO1)C1=CC=CC=C1,Soluble
OC(C(O)C1=NC2=C(N1)C=CC=C2)C1=NC2=C(N1)C=CC=C2,Soluble
CC(C)CC(NC1=C(Cl)C(=O)C2=CC=CC=C2C1=O)C(O)=O,Soluble
FC1=CC=CC(=C1)N(CN1C(=O)C2=CC=CC=C2C1=O)C(=O)C1=CC=CC(Cl)=C1,Soluble
O=C(NC1=CC=C2OCCOC2=C1)C12CC3CC(CC(C3)C1)C2,Soluble
COC1=CC(OC)=C2C(CCCCCC(=O)CCCC(C)OC2=O)=C1,Soluble
NC1=C(C(=O)CN1C1=CC=CC(Cl)=C1)C1=CC=CC=C1,Soluble
CCOC(=O)C1=C(C)C(C(=O)OCC)=C(NC(=O)CN(CC)CC)S1,Soluble
BrC1=CC=C(C=C(C#N)C2=NC3=C(S2)C=CC=C3)C=C1,Soluble
Cl.CSC1=NC2=C(S1)C=C(NC(=O)C1=CC=C(Br)S1)C=C2,Soluble
CCOC1=CC=C2C=CC=CC2=C1C1NC(=O)NC(C)=C1[N+]([O-])=O,Soluble
